Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Year,Month,Day,Hour
0,0,0.75,1,2023-01-15 12:30:00, User123      , Twitter  ,0.0,15.0,30.0,2023,1,15,12
1,1,-1.0,-1,2023-01-15 08:45:00, CommuterX    , Twitter  ,0.0,5.0,10.0,2023,1,15,8
2,2,0.7500000000000001,1,2023-01-15 15:45:00, FitnessFan   , Instagram ,0.0,20.0,40.0,2023,1,15,15
3,3,0.609375,1,2023-01-15 18:20:00, AdventureX   , Facebook ,0.0,8.0,15.0,2023,1,15,18
4,4,0.13636363636363635,0,2023-01-15 19:55:00, ChefCook     , Instagram ,0.0,12.0,25.0,2023,1,15,19
5,5,-0.1875,1,2023-01-16 09:10:00, GratitudeNow , Twitter  ,0.0,25.0,50.0,2023,1,16,9
6,6,0.02500000000000001,1,2023-01-16 14:45:00, RainyDays    , Facebook ,0.0,10.0,20.0,2023,1,16,14
7,7,0.17045454545454544,1,2023-01-16 19:30:00, MovieBuff    , Instagram ,0.0,15.0,30.0,2023,1,16,19
8,8,0.0,-1,2023-01-17 08:00:00, DebateTalk   , Twitter  ,0.0,30.0,60.0,2023,1,17,8
9,9,-0.2,0,2023-01-17 12:20:00, BeachLover   , Facebook ,0.0,18.0,35.0,2023,1,17,12
10,10,0.17045454545454544,1,2023-01-17 15:15:00, BloggerX     , Instagram ,0.0,22.0,45.0,2023,1,17,15
11,11,0.0,-1,2023-01-18 10:30:00, WellnessCheck, Twitter  ,0.0,7.0,15.0,2023,1,18,10
12,12,-0.16666666666666666,1,2023-01-18 14:50:00, UrbanExplorer, Facebook ,0.0,12.0,25.0,2023,1,18,14
13,13,0.15340909090909088,1,2023-01-18 18:00:00, FitJourney   , Instagram ,0.0,28.0,55.0,2023,1,18,18
14,14,0.13636363636363635,0,2023-01-19 09:45:00, TechEnthusiast, Twitter  ,0.0,15.0,30.0,2023,1,19,9
15,15,-0.25,1,2023-01-19 13:20:00, Reflections  , Facebook ,0.0,20.0,40.0,2023,1,19,13
16,16,0.625,1,2023-01-19 17:10:00, PetAdopter   , Instagram ,0.0,15.0,30.0,2023,1,19,17
17,17,0.0,1,2023-01-20 00:05:00, GamerX       , Twitter  ,0.0,18.0,35.0,2023,1,20,0
18,18,0.0,0,2023-01-20 11:30:00, TechConference, Facebook ,0.0,25.0,50.0,2023,1,20,11
19,19,0.0,-1,2023-01-20 15:15:00, WinterBlues  , Instagram ,0.0,8.0,15.0,2023,1,20,15
20,20,0.6,1,2023-01-21 08:40:00, Bookworm     , Twitter  ,0.0,22.0,45.0,2023,1,21,8
21,21,0.0,1,2023-01-21 13:20:00, VRExplorer   , Facebook ,0.0,15.0,30.0,2023,1,21,13
22,22,0.0,1,2023-01-21 16:45:00, ProductivityPro, Instagram ,0.0,30.0,60.0,2023,1,21,16
23,23,0.65,1,2023-01-22 09:15:00, FitnessWarrior, Twitter  ,0.0,20.0,40.0,2023,1,22,9
24,24,0.0,1,2023-01-22 14:30:00, CareerMilestone, Facebook ,0.0,12.0,25.0,2023,1,22,14
25,25,0.0,1,2023-01-22 12:00:00, BrunchBuddy  , Instagram ,0.0,15.0,30.0,2023,1,22,12
27,28,0.06818181818181818,1,2023-01-23 16:20:00, LanguageLearner, Facebook ,0.0,25.0,50.0,2023,1,23,16
28,29,0.35,1,2023-01-23 19:45:00, BookLover    , Instagram ,0.0,15.0,30.0,2023,1,23,19
29,30,-0.1,1,2023-01-24 11:30:00, MentalHealthMatters, Twitter  ,0.0,22.0,45.0,2023,1,24,11
30,31,0.17045454545454544,1,2023-01-24 15:00:00, ArtistInAction, Facebook ,0.0,12.0,25.0,2023,1,24,15
31,32,0.0,1,2023-01-24 17:30:00, RoadTripper  , Instagram ,0.0,18.0,35.0,2023,1,24,17
32,33,0.5,1,2023-01-25 18:00:00, SunsetWatcher, Twitter  ,0.0,15.0,30.0,2023,1,25,18
33,34,0.13636363636363635,1,2023-01-25 13:15:00, CodeEnthusiast, Facebook ,0.0,30.0,60.0,2023,1,25,13
34,35,0.0,1,2023-01-26 09:45:00, WorkshopAttendee, Instagram ,0.0,25.0,50.0,2023,1,26,9
35,36,0.0,1,2023-01-26 14:20:00, WinterSports  , Twitter  ,0.0,15.0,30.0,2023,1,26,14
36,37,0.0,1,2023-01-26 17:40:00, FamilyTime   , Facebook ,0.0,22.0,45.0,2023,1,26,17
37,38,0.13636363636363635,1,2023-01-27 20:00:00, MusicLover   , Instagram ,0.0,18.0,35.0,2023,1,27,20
38,39,0.0,1,2023-01-27 12:30:00, MindfulMoments, Twitter  ,0.0,15.0,30.0,2023,1,27,12
39,40,0.13636363636363635,1,2023-01-27 16:10:00, DessertExplorer, Facebook ,0.0,12.0,25.0,2023,1,27,16
40,41,0.48750000000000004,1,2023-01-28 09:00:00, GamingEnthusiast, Instagram ,0.0,30.0,60.0,2023,1,28,9
41,42,0.0,1,2023-01-28 14:45:00, GardenPlanner , Twitter  ,0.0,25.0,50.0,2023,1,28,14
